cod_matricula,max_fecha_plano,max_fecha_sap,id_zre,cod_naturaleza_juridica,naturaleza_juridica,anio,mes,id_usuario
626,2024-07-31,2014-10-28,001,0125,COMPRAVENTA,2024,7,103
685,2024-05-31,2016-04-13,001,0125,COMPRAVENTA,2024,5,103
1596,2024-11-30,2022-10-18,001,0125,COMPRAVENTA,2024,11,103
2779,2024-09-30,2011-06-14,01N,0109,ADJUDICACION EN SUCESION,2024,9,103
4757,2024-06-30,2023-03-22,001,0125,COMPRAVENTA,2024,6,103
5917,2024-11-30,2004-09-28,001,0146,RATIFICACION CONTRATO,2024,11,103
7365,2023-12-31,2019-11-29,001,0109,ADJUDICACION EN SUCESION,2023,12,103
8189,2025-03-31,2022-04-01,001,0125,COMPRAVENTA,2025,3,103
8842,2025-03-31,2012-09-24,001,0125,COMPRAVENTA,2025,3,103
9191,2024-12-31,2006-04-03,001,0125,COMPRAVENTA,2024,12,103
10816,2025-02-28,2018-01-29,001,0125,COMPRAVENTA,2025,2,103
11223,2024-07-31,2014-02-26,001,0125,COMPRAVENTA,2024,7,103
12076,2024-09-30,2014-10-20,001,0125,COMPRAVENTA,2024,9,103
13533,2025-01-31,2018-03-09,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2025,1,103
13907,2024-07-31,2022-06-08,01N,0125,COMPRAVENTA,2024,7,103
15983,2024-10-31,2011-02-23,001,0109,ADJUDICACION EN SUCESION,2024,10,103
16693,2024-01-31,2024-01-19,001,0125,COMPRAVENTA,2024,1,103
17393,2024-11-30,2016-01-15,01N,0125,COMPRAVENTA,2024,11,103
18899,2024-09-30,2024-06-21,01N,0125,COMPRAVENTA,2024,9,103
19276,2024-04-30,2018-10-31,01N,0125,COMPRAVENTA,2024,4,103
20328,2024-06-30,2009-01-19,001,0125,COMPRAVENTA,2024,6,103
20563,2024-12-31,2018-08-21,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,12,103
21288,2023-12-31,2021-04-21,01N,0108,ADJUDICACION EN REMATE,2023,12,103
22113,2024-07-31,2007-11-19,01N,0125,COMPRAVENTA,2024,7,103
23617,2024-11-30,2024-11-20,001,0125,COMPRAVENTA,2024,11,103
24479,2024-09-30,2019-12-20,01N,0125,COMPRAVENTA,2024,9,103
25004,2024-12-31,2019-07-18,001,0109,ADJUDICACION EN SUCESION,2024,12,103
25812,2024-12-31,2004-08-24,01N,0125,COMPRAVENTA,2024,12,103
26518,2023-12-31,2015-03-03,01N,0125,COMPRAVENTA,2023,12,103
26914,2024-09-30,2014-11-06,001,0125,COMPRAVENTA,2024,9,103
27548,2024-06-30,2007-09-18,01N,0125,COMPRAVENTA,2024,6,103
28001,2024-07-31,2013-05-20,001,0125,COMPRAVENTA,2024,7,103
28495,2024-08-31,2017-08-09,001,0125,COMPRAVENTA,2024,8,103
29451,2024-04-30,2005-09-06,001,0108,ADJUDICACION EN REMATE,2024,4,103
30131,2024-09-30,2008-05-14,001,0125,COMPRAVENTA,2024,9,103
30974,2024-11-30,2009-10-21,001,0125,COMPRAVENTA,2024,11,103
